[170] (0.9936170212765958 2335)
[180] (0.9902127659574468 2327)
[184] (0.9902127659574468 2327)
[188] (0.96 2256)
[4426] (0.9714893617021276 2283)
[4428] (0.9795744680851064 2302)
[4432] (0.9719148936170213 2284)
[4434] (0.9702127659574468 2280)
[4436] (0.96 2256)
[4438] (0.997872340425532 2345)
[4940] (0.9821276595744681 2308)
[7062] (0.9902127659574468 2327)
[7092] (0.9744680851063829 2290)
[7112] (0.9536170212765958 2241)
[188, 7062] (0.9506382978723404 2234)
[184, 4434] (0.9604255319148937 2257)
[4940, 7062] (0.9723404255319149 2285)
[184, 4940] (0.9727659574468085 2286)
[4432, 4438] (0.9702127659574468 2280)
[170, 4426] (0.9651063829787234 2268)
[4432, 7062] (0.9629787234042553 2263)
[4426, 4940] (0.9540425531914893 2242)
[180, 7092] (0.9659574468085106 2270)
[180, 188] (0.951063829787234 2235)
[180, 184] (0.9902127659574468 2327)
[170, 4436] (0.9536170212765958 2241)
[180, 4436] (0.9502127659574469 2233)
[4434, 7062] (0.9612765957446808 2259)
[4428, 4432] (0.9536170212765958 2241)
[184, 7062] (0.9804255319148936 2304)
[180, 4426] (0.9617021276595744 2260)
[170, 4432] (0.965531914893617 2269)
[180, 4940] (0.9727659574468085 2286)
[184, 4428] (0.9697872340425532 2279)
[4438, 4940] (0.98 2303)
[4428, 4940] (0.9617021276595744 2260)
[184, 7092] (0.9659574468085106 2270)
[180, 4432] (0.9621276595744681 2261)
[4428, 4438] (0.9774468085106383 2297)
[184, 188] (0.951063829787234 2235)
[4434, 4940] (0.9523404255319149 2238)
[4432, 4434] (0.9506382978723404 2234)
[184, 4438] (0.9880851063829788 2322)
[4434, 4438] (0.9685106382978723 2276)
[170, 4940] (0.9761702127659575 2294)
[4426, 7062] (0.9621276595744681 2261)
[184, 4432] (0.9621276595744681 2261)
[170, 180] (0.9846808510638297 2314)
[170, 4438] (0.9914893617021276 2330)
[170, 4434] (0.9638297872340426 2265)
[184, 4436] (0.9502127659574469 2233)
[4436, 7062] (0.951063829787234 2235)
[170, 7062] (0.9838297872340426 2312)
[170, 184] (0.9846808510638297 2314)
[170, 4428] (0.9731914893617021 2287)
[180, 4438] (0.9880851063829788 2322)
[180, 7062] (0.9804255319148936 2304)
[4432, 4940] (0.9548936170212766 2244)
[180, 4434] (0.9604255319148937 2257)
[4438, 7112] (0.9519148936170213 2237)
[170, 188] (0.9540425531914893 2242)
[180, 4428] (0.9697872340425532 2279)
[4428, 4434] (0.9506382978723404 2234)
[4438, 7092] (0.9723404255319149 2285)
[7062, 7092] (0.9646808510638298 2267)
[188, 4438] (0.9578723404255319 2251)
[4940, 7092] (0.9570212765957447 2249)
[184, 4426] (0.9617021276595744 2260)
[4436, 4438] (0.9582978723404255 2252)
[4426, 4438] (0.9693617021276596 2278)
[4428, 7062] (0.9702127659574468 2280)
[4426, 4428] (0.9625531914893617 2262)
[4438, 7062] (0.9880851063829788 2322)
[170, 7092] (0.9680851063829787 2275)
[4428, 7092] (0.9548936170212766 2244)
[4432, 4438, 4940] (0.9531914893617022 2240)
[184, 7062, 7092] (0.9561702127659575 2247)
[180, 4438, 7062] (0.9782978723404255 2299)
[170, 184, 4432] (0.9565957446808511 2248)
[4428, 4438, 7092] (0.9527659574468085 2239)
[170, 180, 4940] (0.9672340425531915 2273)
[170, 4438, 4940] (0.9740425531914894 2289)
[184, 4432, 4438] (0.9604255319148937 2257)
[170, 184, 7092] (0.9604255319148937 2257)
[180, 4426, 4438] (0.9595744680851064 2255)
[184, 4438, 7092] (0.9638297872340426 2265)
[170, 184, 4434] (0.9548936170212766 2244)
[184, 4428, 4940] (0.9523404255319149 2238)
[180, 184, 7062] (0.9804255319148936 2304)
[4428, 4438, 7062] (0.9680851063829787 2275)
[170, 4434, 4438] (0.9621276595744681 2261)
[180, 184, 4428] (0.9697872340425532 2279)
[170, 180, 7092] (0.9604255319148937 2257)
[4434, 4438, 7062] (0.9595744680851064 2255)
[170, 180, 7062] (0.9748936170212766 2291)
[180, 184, 4434] (0.9604255319148937 2257)
[170, 4438, 7062] (0.9817021276595744 2307)
[180, 184, 7092] (0.9659574468085106 2270)
[170, 4436, 4438] (0.9519148936170213 2237)
[180, 4434, 4438] (0.9587234042553191 2253)
[170, 180, 4432] (0.9565957446808511 2248)
[180, 184, 4426] (0.9617021276595744 2260)
[170, 4434, 7062] (0.9548936170212766 2244)
[180, 184, 188] (0.951063829787234 2235)
[180, 184, 4436] (0.9502127659574469 2233)
[170, 184, 4940, 7062] (0.9574468085106383 2250)
[180, 184, 4428, 4438] (0.9676595744680851 2274)
[180, 4438, 7062, 7092] (0.9540425531914893 2242)
[170, 184, 4432, 4438] (0.9548936170212766 2244)
[180, 184, 4432, 4438] (0.9604255319148937 2257)
[170, 184, 4438, 4940] (0.9651063829787234 2268)
[180, 184, 4434, 4438] (0.9587234042553191 2253)
[170, 180, 184, 4426] (0.9561702127659575 2247)
[180, 184, 4438, 7092] (0.9638297872340426 2265)
[170, 4432, 4438, 7062] (0.9548936170212766 2244)
[184, 4426, 4428, 4438] (0.9506382978723404 2234)
[170, 4426, 4428, 4438] (0.9540425531914893 2242)
[170, 180, 184, 7092] (0.9604255319148937 2257)
[4426, 4428, 4438, 7062] (0.951063829787234 2235)
[184, 4432, 4438, 7062] (0.9514893617021276 2236)
[170, 180, 184, 4438] (0.9825531914893617 2309)
[170, 184, 4428, 7062] (0.9548936170212766 2244)
[180, 4432, 4438, 7062] (0.9514893617021276 2236)
[170, 180, 184, 4432] (0.9565957446808511 2248)
[180, 184, 4426, 4438] (0.9595744680851064 2255)
[170, 4426, 4438, 7062] (0.9536170212765958 2241)
[170, 4438, 7062, 7092] (0.9561702127659575 2247)
[180, 184, 4426, 7062] (0.9523404255319149 2238)
[170, 184, 4438, 7092] (0.9582978723404255 2252)
[180, 4428, 4438, 7062] (0.9582978723404255 2252)
[180, 184, 4438, 7062] (0.9782978723404255 2299)
[180, 184, 4438, 4940] (0.9706382978723405 2281)
[180, 184, 4940, 7062] (0.9629787234042553 2263)
[170, 180, 184, 4434] (0.9548936170212766 2244)
[180, 184, 4428, 7062] (0.9604255319148937 2257)
[170, 4428, 4438, 4940] (0.9536170212765958 2241)
[4428, 4438, 4940, 7062] (0.9502127659574469 2233)
[180, 4438, 4940, 7062] (0.9608510638297872 2258)
[170, 4438, 4940, 7062] (0.9642553191489361 2266)
[170, 180, 4428, 4438] (0.9621276595744681 2261)
[184, 4438, 7062, 7092] (0.9540425531914893 2242)
[180, 184, 4434, 7062] (0.9514893617021276 2236)
[170, 180, 184, 4940] (0.9672340425531915 2273)
[170, 184, 4438, 7062] (0.9727659574468085 2286)
[184, 4426, 4438, 7062] (0.9502127659574469 2233)
[170, 180, 4434, 4438] (0.9531914893617022 2240)
[170, 180, 4438, 7062] (0.9727659574468085 2286)
[180, 184, 4428, 4940] (0.9523404255319149 2238)
[170, 180, 184, 7062] (0.9748936170212766 2291)
[170, 4434, 4438, 7062] (0.9531914893617022 2240)
[180, 184, 4432, 7062] (0.9531914893617022 2240)
[170, 184, 4428, 4438] (0.9621276595744681 2261)
[180, 4428, 4438, 4940] (0.9502127659574469 2233)
[170, 180, 7062, 7092] (0.9506382978723404 2234)
[180, 184, 4426, 4428] (0.9527659574468085 2239)
[170, 4428, 4438, 7062] (0.9617021276595744 2260)
[184, 4428, 4438, 4940] (0.9502127659574469 2233)
[180, 184, 7062, 7092] (0.9561702127659575 2247)
[184, 4428, 4438, 7062] (0.9582978723404255 2252)
[170, 184, 4434, 4438] (0.9531914893617022 2240)
[180, 4426, 4428, 4438] (0.9506382978723404 2234)
[170, 180, 4428, 7062] (0.9548936170212766 2244)
[170, 180, 4426, 4438] (0.9540425531914893 2242)
[170, 184, 7062, 7092] (0.9506382978723404 2234)
[170, 180, 184, 4428] (0.9642553191489361 2266)
[184, 4438, 4940, 7062] (0.9608510638297872 2258)
[170, 180, 4432, 4438] (0.9548936170212766 2244)
[170, 180, 4940, 7062] (0.9574468085106383 2250)
[170, 184, 4426, 4438] (0.9540425531914893 2242)
[170, 180, 4438, 7092] (0.9582978723404255 2252)
[180, 4426, 4438, 7062] (0.9502127659574469 2233)
[170, 180, 4438, 4940] (0.9651063829787234 2268)
[180, 184, 4426, 4428, 4438] (0.9506382978723404 2234)
[180, 184, 4432, 4438, 7062] (0.9514893617021276 2236)
[170, 180, 184, 7062, 7092] (0.9506382978723404 2234)
[180, 184, 4428, 4438, 4940] (0.9502127659574469 2233)
[170, 180, 184, 4438, 7092] (0.9582978723404255 2252)
[170, 184, 4438, 4940, 7062] (0.9553191489361702 2245)
[170, 180, 4438, 4940, 7062] (0.9553191489361702 2245)
[170, 184, 4428, 4438, 7062] (0.9527659574468085 2239)
[170, 180, 4428, 4438, 7062] (0.9527659574468085 2239)
[170, 180, 184, 4940, 7062] (0.9574468085106383 2250)
[180, 184, 4438, 4940, 7062] (0.9608510638297872 2258)
[180, 184, 4428, 4438, 7062] (0.9582978723404255 2252)
[180, 184, 4426, 4438, 7062] (0.9502127659574469 2233)
[170, 180, 184, 4426, 4438] (0.9540425531914893 2242)
[170, 180, 184, 4428, 4438] (0.9621276595744681 2261)
[170, 180, 184, 4428, 7062] (0.9548936170212766 2244)
[170, 180, 184, 4432, 4438] (0.9548936170212766 2244)
[180, 184, 4438, 7062, 7092] (0.9540425531914893 2242)
[170, 180, 184, 4434, 4438] (0.9531914893617022 2240)
[170, 180, 184, 4438, 7062] (0.9727659574468085 2286)
[170, 180, 184, 4438, 4940] (0.9651063829787234 2268)
[170, 180, 184, 4438, 4940, 7062] (0.9553191489361702 2245)
[170, 180, 184, 4428, 4438, 7062] (0.9527659574468085 2239)
