[5] (0.9246575342465754 135)
[7] (0.958904109589041 140)
[29] (0.9931506849315068 145)
[34] (0.9452054794520548 138)
[36] (0.9794520547945206 143)
[40] (0.9931506849315068 145)
[48] (0.9452054794520548 138)
[52] (0.9931506849315068 145)
[58] (1.0 146)
[60] (0.9863013698630136 144)
[62] (0.958904109589041 140)
[66] (0.9657534246575342 141)
[5, 29] (0.9178082191780822 134)
[34, 36] (0.9246575342465754 135)
[7, 66] (0.9246575342465754 135)
[5, 52] (0.9178082191780822 134)
[36, 48] (0.9452054794520548 138)
[7, 34] (0.910958904109589 133)
[40, 52] (0.9863013698630136 144)
[29, 36] (0.9726027397260274 142)
[7, 62] (0.9178082191780822 134)
[7, 48] (0.9041095890410958 132)
[36, 58] (0.9794520547945206 143)
[62, 66] (0.9315068493150684 136)
[58, 60] (0.9863013698630136 144)
[36, 40] (0.9726027397260274 142)
[5, 36] (0.9041095890410958 132)
[52, 58] (0.9931506849315068 145)
[7, 58] (0.958904109589041 140)
[29, 58] (0.9931506849315068 145)
[60, 62] (0.952054794520548 139)
[48, 66] (0.9178082191780822 134)
[34, 60] (0.9315068493150684 136)
[5, 66] (0.9041095890410958 132)
[29, 48] (0.9383561643835616 137)
[48, 62] (0.9041095890410958 132)
[36, 60] (0.9657534246575342 141)
[29, 60] (0.9794520547945206 143)
[48, 52] (0.9383561643835616 137)
[40, 60] (0.9863013698630136 144)
[29, 40] (0.9863013698630136 144)
[34, 40] (0.9383561643835616 137)
[7, 40] (0.952054794520548 139)
[34, 58] (0.9452054794520548 138)
[5, 60] (0.910958904109589 133)
[52, 60] (0.9794520547945206 143)
[52, 66] (0.958904109589041 140)
[7, 36] (0.9383561643835616 137)
[58, 62] (0.958904109589041 140)
[5, 40] (0.9178082191780822 134)
[5, 58] (0.9246575342465754 135)
[36, 66] (0.9452054794520548 138)
[60, 66] (0.9657534246575342 141)
[36, 52] (0.9726027397260274 142)
[29, 34] (0.9383561643835616 137)
[7, 60] (0.9452054794520548 138)
[34, 66] (0.910958904109589 133)
[40, 62] (0.958904109589041 140)
[29, 62] (0.952054794520548 139)
[34, 62] (0.9041095890410958 132)
[40, 66] (0.9657534246575342 141)
[40, 48] (0.9383561643835616 137)
[40, 58] (0.9931506849315068 145)
[48, 60] (0.9383561643835616 137)
[29, 66] (0.958904109589041 140)
[36, 62] (0.9383561643835616 137)
[58, 66] (0.9657534246575342 141)
[48, 58] (0.9452054794520548 138)
[52, 62] (0.952054794520548 139)
[29, 52] (0.9863013698630136 144)
[34, 52] (0.9383561643835616 137)
[7, 29] (0.958904109589041 140)
[7, 52] (0.952054794520548 139)
[5, 60, 66] (0.9041095890410958 132)
[7, 34, 40] (0.9041095890410958 132)
[5, 58, 60] (0.910958904109589 133)
[5, 52, 58] (0.9178082191780822 134)
[7, 58, 62] (0.9178082191780822 134)
[29, 48, 66] (0.910958904109589 133)
[34, 40, 66] (0.910958904109589 133)
[29, 34, 40] (0.9315068493150684 136)
[40, 52, 58] (0.9863013698630136 144)
[48, 52, 58] (0.9383561643835616 137)
[7, 52, 58] (0.952054794520548 139)
[60, 62, 66] (0.9315068493150684 136)
[29, 34, 36] (0.9178082191780822 134)
[7, 36, 52] (0.9315068493150684 136)
[7, 36, 66] (0.9041095890410958 132)
[48, 58, 60] (0.9383561643835616 137)
[7, 29, 58] (0.958904109589041 140)
[36, 60, 66] (0.9452054794520548 138)
[29, 62, 66] (0.9246575342465754 135)
[29, 60, 62] (0.9452054794520548 138)
[7, 34, 58] (0.910958904109589 133)
[7, 60, 62] (0.910958904109589 133)
[5, 29, 58] (0.9178082191780822 134)
[34, 40, 62] (0.9041095890410958 132)
[52, 58, 62] (0.952054794520548 139)
[29, 40, 66] (0.958904109589041 140)
[40, 58, 66] (0.9657534246575342 141)
[29, 36, 66] (0.9383561643835616 137)
[52, 58, 60] (0.9794520547945206 143)
[36, 58, 66] (0.9452054794520548 138)
[40, 52, 60] (0.9794520547945206 143)
[29, 34, 60] (0.9246575342465754 135)
[29, 36, 52] (0.9657534246575342 141)
[48, 58, 62] (0.9041095890410958 132)
[7, 40, 60] (0.9452054794520548 138)
[7, 36, 60] (0.9246575342465754 135)
[34, 52, 66] (0.9041095890410958 132)
[36, 40, 60] (0.9657534246575342 141)
[29, 52, 60] (0.9726027397260274 142)
[7, 29, 60] (0.9452054794520548 138)
[36, 52, 60] (0.958904109589041 140)
[34, 40, 60] (0.9315068493150684 136)
[34, 36, 52] (0.9178082191780822 134)
[36, 48, 58] (0.9452054794520548 138)
[48, 52, 66] (0.910958904109589 133)
[7, 29, 40] (0.952054794520548 139)
[7, 58, 66] (0.9246575342465754 135)
[58, 60, 62] (0.952054794520548 139)
[40, 62, 66] (0.9315068493150684 136)
[29, 40, 52] (0.9794520547945206 143)
[36, 52, 62] (0.9315068493150684 136)
[7, 60, 66] (0.9246575342465754 135)
[5, 40, 60] (0.910958904109589 133)
[36, 40, 62] (0.9383561643835616 137)
[29, 36, 40] (0.9657534246575342 141)
[29, 48, 52] (0.9315068493150684 136)
[7, 29, 52] (0.952054794520548 139)
[29, 60, 66] (0.958904109589041 140)
[7, 40, 66] (0.9246575342465754 135)
[7, 29, 62] (0.9178082191780822 134)
[40, 60, 62] (0.952054794520548 139)
[40, 58, 60] (0.9863013698630136 144)
[52, 58, 66] (0.958904109589041 140)
[36, 48, 52] (0.9383561643835616 137)
[48, 52, 60] (0.9315068493150684 136)
[52, 62, 66] (0.9246575342465754 135)
[36, 48, 66] (0.9178082191780822 134)
[36, 58, 62] (0.9383561643835616 137)
[58, 60, 66] (0.9657534246575342 141)
[29, 58, 62] (0.952054794520548 139)
[40, 58, 62] (0.958904109589041 140)
[29, 36, 62] (0.9315068493150684 136)
[48, 58, 66] (0.9178082191780822 134)
[5, 40, 52] (0.910958904109589 133)
[29, 48, 60] (0.9315068493150684 136)
[7, 52, 60] (0.9383561643835616 137)
[5, 40, 66] (0.9041095890410958 132)
[36, 40, 48] (0.9383561643835616 137)
[7, 36, 48] (0.9041095890410958 132)
[34, 58, 66] (0.910958904109589 133)
[52, 60, 62] (0.9452054794520548 138)
[40, 52, 62] (0.952054794520548 139)
[40, 48, 66] (0.9178082191780822 134)
[29, 58, 60] (0.9794520547945206 143)
[29, 52, 58] (0.9863013698630136 144)
[7, 40, 62] (0.9178082191780822 134)
[34, 52, 60] (0.9246575342465754 135)
[36, 52, 66] (0.9383561643835616 137)
[7, 40, 52] (0.9452054794520548 138)
[7, 29, 52, 62] (0.910958904109589 133)
[7, 29, 40, 52] (0.9452054794520548 138)
[7, 40, 58, 62] (0.9178082191780822 134)
[7, 29, 40, 66] (0.9246575342465754 135)
[7, 52, 60, 66] (0.9178082191780822 134)
[5, 40, 58, 66] (0.9041095890410958 132)
[36, 48, 58, 66] (0.9178082191780822 134)
[36, 48, 52, 58] (0.9383561643835616 137)
[7, 58, 60, 66] (0.9246575342465754 135)
[7, 36, 40, 60] (0.9246575342465754 135)
[40, 52, 58, 60] (0.9794520547945206 143)
[29, 52, 60, 66] (0.952054794520548 139)
[36, 48, 52, 66] (0.910958904109589 133)
[48, 52, 58, 66] (0.910958904109589 133)
[34, 40, 52, 60] (0.9246575342465754 135)
[29, 36, 52, 60] (0.952054794520548 139)
[29, 36, 40, 60] (0.958904109589041 140)
[58, 60, 62, 66] (0.9315068493150684 136)
[7, 52, 58, 66] (0.9178082191780822 134)
[7, 36, 60, 66] (0.9041095890410958 132)
[40, 52, 58, 62] (0.952054794520548 139)
[34, 40, 58, 62] (0.9041095890410958 132)
[7, 40, 58, 60] (0.9452054794520548 138)
[29, 40, 48, 58] (0.9315068493150684 136)
[29, 36, 60, 62] (0.9246575342465754 135)
[36, 40, 48, 62] (0.9041095890410958 132)
[29, 34, 58, 60] (0.9246575342465754 135)
[5, 29, 40, 60] (0.9041095890410958 132)
[29, 40, 60, 66] (0.958904109589041 140)
[7, 34, 40, 58] (0.9041095890410958 132)
[7, 34, 52, 58] (0.9041095890410958 132)
[29, 40, 52, 58] (0.9794520547945206 143)
[7, 52, 60, 62] (0.9041095890410958 132)
[29, 40, 48, 66] (0.910958904109589 133)
[29, 60, 62, 66] (0.9246575342465754 135)
[29, 36, 58, 66] (0.9383561643835616 137)
[7, 29, 40, 62] (0.9178082191780822 134)
[36, 48, 58, 60] (0.9383561643835616 137)
[29, 52, 60, 62] (0.9383561643835616 137)
[29, 40, 62, 66] (0.9246575342465754 135)
[7, 29, 48, 58] (0.9041095890410958 132)
[29, 36, 60, 66] (0.9383561643835616 137)
[34, 40, 58, 66] (0.910958904109589 133)
[7, 29, 52, 60] (0.9383561643835616 137)
[36, 48, 60, 66] (0.9178082191780822 134)
[36, 40, 48, 66] (0.9178082191780822 134)
[7, 36, 40, 52] (0.9246575342465754 135)
[29, 34, 52, 58] (0.9315068493150684 136)
[29, 40, 60, 62] (0.9452054794520548 138)
[36, 48, 58, 62] (0.9041095890410958 132)
[36, 40, 60, 62] (0.9315068493150684 136)
[29, 36, 40, 62] (0.9315068493150684 136)
[36, 40, 62, 66] (0.910958904109589 133)
[29, 36, 40, 52] (0.958904109589041 140)
[40, 48, 52, 60] (0.9315068493150684 136)
[34, 40, 52, 66] (0.9041095890410958 132)
[34, 58, 60, 66] (0.910958904109589 133)
[29, 58, 62, 66] (0.9246575342465754 135)
[29, 36, 58, 62] (0.9315068493150684 136)
[52, 58, 60, 62] (0.9452054794520548 138)
[34, 52, 58, 66] (0.9041095890410958 132)
[29, 34, 58, 66] (0.9041095890410958 132)
[36, 52, 60, 66] (0.9383561643835616 137)
[48, 58, 60, 66] (0.9178082191780822 134)
[29, 52, 58, 62] (0.9452054794520548 138)
[40, 52, 60, 66] (0.958904109589041 140)
[7, 40, 60, 66] (0.9246575342465754 135)
[34, 36, 52, 60] (0.9041095890410958 132)
[7, 29, 34, 40] (0.9041095890410958 132)
[29, 36, 58, 60] (0.958904109589041 140)
[5, 40, 58, 60] (0.910958904109589 133)
[40, 58, 62, 66] (0.9315068493150684 136)
[29, 34, 40, 60] (0.9246575342465754 135)
[29, 36, 52, 66] (0.9315068493150684 136)
[29, 48, 52, 60] (0.9246575342465754 135)
[7, 29, 52, 58] (0.952054794520548 139)
[29, 52, 58, 60] (0.9726027397260274 142)
[7, 29, 40, 58] (0.952054794520548 139)
[29, 36, 40, 66] (0.9383561643835616 137)
[36, 40, 60, 66] (0.9452054794520548 138)
[5, 29, 40, 58] (0.910958904109589 133)
[7, 36, 52, 58] (0.9315068493150684 136)
[36, 40, 48, 60] (0.9383561643835616 137)
[40, 48, 58, 62] (0.9041095890410958 132)
[7, 36, 58, 66] (0.9041095890410958 132)
[7, 52, 58, 60] (0.9383561643835616 137)
[29, 34, 40, 66] (0.9041095890410958 132)
[34, 40, 58, 60] (0.9315068493150684 136)
[52, 58, 60, 66] (0.958904109589041 140)
[29, 36, 40, 58] (0.9657534246575342 141)
[7, 29, 52, 66] (0.9178082191780822 134)
[7, 40, 52, 60] (0.9383561643835616 137)
[40, 52, 60, 62] (0.9452054794520548 138)
[7, 40, 60, 62] (0.910958904109589 133)
[29, 36, 48, 58] (0.9383561643835616 137)
[5, 29, 40, 52] (0.9041095890410958 132)
[34, 52, 58, 60] (0.9246575342465754 135)
[29, 48, 58, 66] (0.910958904109589 133)
[40, 48, 58, 60] (0.9383561643835616 137)
[29, 52, 62, 66] (0.9178082191780822 134)
[40, 52, 62, 66] (0.9246575342465754 135)
[36, 58, 62, 66] (0.910958904109589 133)
[7, 52, 58, 62] (0.910958904109589 133)
[29, 36, 48, 66] (0.910958904109589 133)
[29, 36, 52, 62] (0.9246575342465754 135)
[7, 29, 34, 52] (0.9041095890410958 132)
[29, 34, 52, 60] (0.9178082191780822 134)
[34, 52, 60, 66] (0.9041095890410958 132)
[48, 52, 58, 60] (0.9315068493150684 136)
[29, 48, 52, 66] (0.9041095890410958 132)
[40, 48, 52, 58] (0.9315068493150684 136)
[5, 40, 60, 66] (0.9041095890410958 132)
[29, 34, 36, 58] (0.9178082191780822 134)
[29, 40, 52, 60] (0.9726027397260274 142)
[5, 29, 58, 60] (0.9041095890410958 132)
[40, 58, 60, 66] (0.9657534246575342 141)
[7, 29, 58, 60] (0.9452054794520548 138)
[29, 48, 58, 60] (0.9315068493150684 136)
[7, 29, 58, 62] (0.9178082191780822 134)
[36, 52, 58, 66] (0.9383561643835616 137)
[34, 36, 52, 58] (0.9178082191780822 134)
[7, 29, 60, 62] (0.910958904109589 133)
[29, 34, 40, 52] (0.9246575342465754 135)
[40, 48, 60, 66] (0.9178082191780822 134)
[52, 60, 62, 66] (0.9246575342465754 135)
[7, 29, 34, 58] (0.910958904109589 133)
[36, 52, 58, 60] (0.958904109589041 140)
[36, 40, 52, 66] (0.9383561643835616 137)
[34, 36, 40, 60] (0.910958904109589 133)
[7, 29, 36, 40] (0.9315068493150684 136)
[29, 40, 58, 66] (0.958904109589041 140)
[29, 36, 48, 60] (0.9315068493150684 136)
[29, 52, 58, 66] (0.952054794520548 139)
[29, 34, 36, 40] (0.910958904109589 133)
[48, 58, 60, 62] (0.9041095890410958 132)
[36, 52, 60, 62] (0.9246575342465754 135)
[5, 40, 52, 60] (0.9041095890410958 132)
[52, 58, 62, 66] (0.9246575342465754 135)
[7, 29, 58, 66] (0.9246575342465754 135)
[36, 52, 58, 62] (0.9315068493150684 136)
[29, 36, 48, 52] (0.9315068493150684 136)
[7, 36, 58, 60] (0.9246575342465754 135)
[7, 29, 36, 52] (0.9315068493150684 136)
[29, 34, 60, 66] (0.9041095890410958 132)
[7, 36, 48, 58] (0.9041095890410958 132)
[29, 58, 60, 66] (0.958904109589041 140)
[36, 40, 52, 58] (0.9657534246575342 141)
[36, 52, 62, 66] (0.9041095890410958 132)
[29, 34, 36, 52] (0.910958904109589 133)
[40, 48, 58, 66] (0.9178082191780822 134)
[7, 29, 36, 66] (0.9041095890410958 132)
[40, 48, 60, 62] (0.9041095890410958 132)
[36, 60, 62, 66] (0.910958904109589 133)
[29, 40, 48, 52] (0.9246575342465754 135)
[29, 40, 58, 62] (0.952054794520548 139)
[5, 29, 52, 58] (0.910958904109589 133)
[36, 48, 52, 60] (0.9315068493150684 136)
[36, 40, 52, 62] (0.9315068493150684 136)
[5, 58, 60, 66] (0.9041095890410958 132)
[29, 36, 52, 58] (0.9657534246575342 141)
[7, 40, 52, 66] (0.9178082191780822 134)
[29, 48, 60, 66] (0.910958904109589 133)
[29, 40, 58, 60] (0.9794520547945206 143)
[34, 40, 52, 58] (0.9315068493150684 136)
[36, 58, 60, 62] (0.9315068493150684 136)
[29, 58, 60, 62] (0.9452054794520548 138)
[7, 40, 52, 58] (0.9452054794520548 138)
[34, 36, 40, 52] (0.910958904109589 133)
[5, 52, 58, 60] (0.9041095890410958 132)
[48, 52, 60, 66] (0.910958904109589 133)
[36, 48, 60, 62] (0.9041095890410958 132)
[36, 40, 48, 58] (0.9383561643835616 137)
[36, 40, 58, 66] (0.9452054794520548 138)
[29, 40, 52, 66] (0.952054794520548 139)
[7, 29, 36, 58] (0.9383561643835616 137)
[7, 29, 36, 48] (0.9041095890410958 132)
[29, 34, 40, 58] (0.9315068493150684 136)
[29, 34, 36, 60] (0.9041095890410958 132)
[7, 36, 52, 60] (0.9178082191780822 134)
[34, 36, 40, 58] (0.9178082191780822 134)
[7, 29, 36, 60] (0.9246575342465754 135)
[36, 40, 48, 52] (0.9315068493150684 136)
[7, 40, 52, 62] (0.910958904109589 133)
[36, 40, 58, 60] (0.9657534246575342 141)
[7, 58, 60, 62] (0.910958904109589 133)
[7, 29, 40, 60] (0.9452054794520548 138)
[40, 58, 60, 62] (0.952054794520548 139)
[40, 52, 58, 66] (0.958904109589041 140)
[5, 40, 52, 58] (0.910958904109589 133)
[7, 36, 40, 66] (0.9041095890410958 132)
[40, 48, 52, 66] (0.910958904109589 133)
[36, 58, 60, 66] (0.9452054794520548 138)
[29, 40, 48, 60] (0.9315068493150684 136)
[29, 48, 52, 58] (0.9315068493150684 136)
[36, 40, 52, 60] (0.958904109589041 140)
[40, 60, 62, 66] (0.9315068493150684 136)
[34, 36, 58, 60] (0.910958904109589 133)
[34, 40, 60, 66] (0.910958904109589 133)
[29, 36, 40, 48] (0.9315068493150684 136)
[36, 40, 58, 62] (0.9383561643835616 137)
[7, 36, 40, 58] (0.9315068493150684 136)
[7, 40, 58, 66] (0.9246575342465754 135)
[7, 29, 60, 66] (0.9246575342465754 135)
[29, 40, 52, 62] (0.9452054794520548 138)
[29, 36, 62, 66] (0.9041095890410958 132)
[29, 36, 52, 58, 66] (0.9315068493150684 136)
[29, 36, 40, 60, 62] (0.9246575342465754 135)
[29, 36, 40, 52, 60] (0.952054794520548 139)
[7, 40, 52, 58, 66] (0.9178082191780822 134)
[29, 40, 48, 58, 66] (0.910958904109589 133)
[7, 29, 34, 52, 58] (0.9041095890410958 132)
[7, 52, 58, 60, 66] (0.9178082191780822 134)
[29, 36, 48, 52, 58] (0.9315068493150684 136)
[36, 40, 52, 62, 66] (0.9041095890410958 132)
[7, 29, 40, 52, 62] (0.910958904109589 133)
[7, 29, 36, 48, 58] (0.9041095890410958 132)
[7, 29, 36, 52, 60] (0.9178082191780822 134)
[36, 52, 58, 60, 66] (0.9383561643835616 137)
[40, 48, 52, 60, 66] (0.910958904109589 133)
[29, 36, 58, 60, 62] (0.9246575342465754 135)
[29, 48, 52, 60, 66] (0.9041095890410958 132)
[34, 36, 40, 52, 60] (0.9041095890410958 132)
[29, 40, 58, 60, 62] (0.9452054794520548 138)
[29, 36, 60, 62, 66] (0.9041095890410958 132)
[48, 52, 58, 60, 66] (0.910958904109589 133)
[7, 29, 36, 40, 66] (0.9041095890410958 132)
[7, 29, 52, 60, 62] (0.9041095890410958 132)
[29, 34, 36, 40, 58] (0.910958904109589 133)
[29, 52, 58, 62, 66] (0.9178082191780822 134)
[29, 36, 48, 60, 66] (0.910958904109589 133)
[36, 40, 48, 52, 58] (0.9315068493150684 136)
[29, 36, 52, 58, 62] (0.9246575342465754 135)
[7, 29, 40, 58, 60] (0.9452054794520548 138)
[34, 36, 52, 58, 60] (0.9041095890410958 132)
[7, 36, 40, 60, 66] (0.9041095890410958 132)
[29, 34, 36, 40, 52] (0.9041095890410958 132)
[29, 40, 60, 62, 66] (0.9246575342465754 135)
[7, 29, 36, 40, 58] (0.9315068493150684 136)
[7, 52, 58, 60, 62] (0.9041095890410958 132)
[34, 40, 52, 58, 66] (0.9041095890410958 132)
[7, 29, 40, 58, 62] (0.9178082191780822 134)
[36, 40, 48, 52, 66] (0.910958904109589 133)
[29, 36, 58, 60, 66] (0.9383561643835616 137)
[5, 40, 58, 60, 66] (0.9041095890410958 132)
[29, 36, 40, 62, 66] (0.9041095890410958 132)
[29, 36, 52, 58, 60] (0.952054794520548 139)
[36, 40, 58, 62, 66] (0.910958904109589 133)
[7, 29, 40, 52, 66] (0.9178082191780822 134)
[40, 52, 58, 62, 66] (0.9246575342465754 135)
[29, 36, 40, 52, 62] (0.9246575342465754 135)
[29, 36, 40, 48, 58] (0.9315068493150684 136)
[29, 48, 58, 60, 66] (0.910958904109589 133)
[7, 29, 52, 60, 66] (0.9178082191780822 134)
[29, 40, 52, 58, 66] (0.952054794520548 139)
[29, 36, 48, 52, 66] (0.9041095890410958 132)
[5, 29, 40, 52, 58] (0.9041095890410958 132)
[36, 48, 58, 60, 66] (0.9178082191780822 134)
[36, 48, 52, 58, 60] (0.9315068493150684 136)
[29, 40, 52, 60, 62] (0.9383561643835616 137)
[52, 58, 60, 62, 66] (0.9246575342465754 135)
[7, 29, 36, 40, 60] (0.9246575342465754 135)
[29, 40, 58, 62, 66] (0.9246575342465754 135)
[7, 29, 34, 40, 58] (0.9041095890410958 132)
[29, 34, 40, 52, 58] (0.9246575342465754 135)
[7, 29, 40, 60, 66] (0.9246575342465754 135)
[29, 36, 48, 58, 66] (0.910958904109589 133)
[7, 29, 40, 58, 66] (0.9246575342465754 135)
[34, 52, 58, 60, 66] (0.9041095890410958 132)
[29, 36, 40, 52, 66] (0.9315068493150684 136)
[40, 52, 60, 62, 66] (0.9246575342465754 135)
[29, 34, 52, 58, 60] (0.9178082191780822 134)
[29, 36, 40, 60, 66] (0.9383561643835616 137)
[36, 48, 58, 60, 62] (0.9041095890410958 132)
[29, 36, 48, 58, 60] (0.9315068493150684 136)
[29, 40, 52, 60, 66] (0.952054794520548 139)
[29, 34, 40, 52, 60] (0.9178082191780822 134)
[29, 40, 48, 52, 60] (0.9246575342465754 135)
[7, 29, 40, 52, 60] (0.9383561643835616 137)
[29, 36, 40, 52, 58] (0.958904109589041 140)
[36, 40, 48, 60, 66] (0.9178082191780822 134)
[34, 36, 40, 58, 60] (0.910958904109589 133)
[36, 48, 52, 58, 66] (0.910958904109589 133)
[7, 29, 40, 60, 62] (0.910958904109589 133)
[29, 36, 52, 60, 66] (0.9315068493150684 136)
[34, 40, 52, 58, 60] (0.9246575342465754 135)
[7, 29, 36, 40, 52] (0.9246575342465754 135)
[29, 34, 36, 40, 60] (0.9041095890410958 132)
[29, 40, 58, 60, 66] (0.958904109589041 140)
[7, 40, 58, 60, 62] (0.910958904109589 133)
[34, 40, 58, 60, 66] (0.910958904109589 133)
[7, 40, 52, 60, 66] (0.9178082191780822 134)
[29, 52, 60, 62, 66] (0.9178082191780822 134)
[29, 36, 52, 60, 62] (0.9178082191780822 134)
[29, 36, 40, 58, 60] (0.958904109589041 140)
[7, 29, 58, 60, 62] (0.910958904109589 133)
[40, 52, 58, 60, 62] (0.9452054794520548 138)
[40, 58, 60, 62, 66] (0.9315068493150684 136)
[29, 36, 40, 48, 60] (0.9315068493150684 136)
[7, 29, 36, 58, 60] (0.9246575342465754 135)
[29, 34, 36, 52, 58] (0.910958904109589 133)
[36, 40, 48, 60, 62] (0.9041095890410958 132)
[7, 36, 40, 58, 66] (0.9041095890410958 132)
[29, 52, 58, 60, 62] (0.9383561643835616 137)
[29, 36, 40, 58, 62] (0.9315068493150684 136)
[7, 36, 40, 52, 60] (0.9178082191780822 134)
[7, 29, 52, 58, 66] (0.9178082191780822 134)
[7, 36, 52, 58, 60] (0.9178082191780822 134)
[29, 40, 52, 62, 66] (0.9178082191780822 134)
[29, 40, 48, 60, 66] (0.910958904109589 133)
[7, 36, 58, 60, 66] (0.9041095890410958 132)
[7, 36, 40, 58, 60] (0.9246575342465754 135)
[29, 48, 52, 58, 60] (0.9246575342465754 135)
[29, 34, 40, 58, 66] (0.9041095890410958 132)
